region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,credit_card,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_old_age,saved_for_purchase,saved_no_purpose,mobile_pay_s_r,digital_payment_other,mobile_payment,mobile_payment_bill,govt_digital_pay,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,fin_resilience,emergency_funds,prefer_digital_acc,prefer_digital_fin,prefer_digital,saved_any,region_clean
South Asia (excluding high income),Low income,all,all,0.0900501207340641,0.43075572887833585,0.011517359331581267,0.02819420302891351,0.02819420302891351,0.03980330553011199,0.039729381844638784,0.42042043118286215,0.643714279699318,0.3562857203006816,0.0168311112579706,0.229595868803875,0.014937929045304887,0.19809728330763854,0.014348076295436357,0.015269351882502086,0.17004866964819906,0.03962052656029641,0.038428812706078175,0.03720242777240157,0.008257340114954603,0.036158260425358524,0.02972084137213718,0.09730726678238266,0.19319906720660457,South Asia
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.282681244109764,0.4287677825477682,0.08418632437141474,0.08561610677866538,0.08561610677866538,0.18555181034343263,0.18555181034343263,0.6448590843369851,0.5964530507454897,0.4035469492545106,0.06737453081141151,0.6806446126643122,0.06276437303491605,0.5936304773071273,0.07339951280678965,0.10603173712523525,0.27517381838327737,0.18117358715787366,0.1325799240659012,0.23853423743923927,0.105931324858905,0.16717533770667667,0.12608198222327877,0.29581075769012677,0.30336131429965524,Europe & Central Asia
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.332861125283373,0.4198459555620659,0.02871498728147681,0.043256992912583,0.043256992912583,0.05641824125733336,0.05591053499192378,0.5119360460632036,0.6621050802069602,0.33789491979303976,0.023300363388368106,0.40594325451409646,0.020540515694437683,0.37850024804634935,0.028652773506614465,0.030953596501428204,0.19953455595071085,0.06170312802697084,0.05744355543549137,0.14161229362580602,0.01160296643066891,0.1280577271436816,0.08958074479938524,0.17763223444811785,0.23255188186308,Middle East & North Africa
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.392035423430619,0.5182525102575608,0.11914564495593893,0.15915584311235298,0.159155843112353,0.16968641322700184,0.1685707807712662,0.5369640952495731,0.639266977773624,0.36073302222637627,0.08569482272684409,0.4899298637705144,0.07142427728994374,0.3567426314424087,0.07575432484359344,0.1004566629349055,0.2786870877785033,0.1464265652698907,0.11537661054637693,0.17615509769128154,0.154859571025538,0.157954163437729,0.10794034175140135,0.2204878729380357,0.4209166844001643,Sub-Saharan Africa
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.331302169855518,0.39147124931510957,0.19701943755276047,0.03800657473543287,0.03800657473543287,0.22568571661695325,0.2227730419693721,0.4992716568936376,0.5311157876024475,0.4688842123975526,0.12209754942705744,0.6148609780668348,0.11358019084318458,0.4846586764497627,0.09782936242832573,0.11162147971989844,0.33384749179770157,0.18409736471698074,0.1595689996598267,0.2051830600012858,0.219408850054562,0.19015462964703977,0.14271125285803477,0.2642385727278995,0.31887592666513365,Latin America & Caribbean
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.174868727402134,0.4683585371112399,0.10965589372257187,0.008191325133334926,0.008191325133334898,0.1643013558418769,0.1643013558418769,0.5745217401716926,0.5640240767797119,0.43597592322028844,0.016860452253996572,0.5970089045745909,0.016860452253996544,0.5754493310079682,0.0354839709760873,0.05498530796958301,0.31914199044101,0.13782171375402463,0.08522821752258833,0.20032062802553086,0.02342289280144469,0.18789319018468403,0.07225091882842768,0.29135760930960414,0.3294596427185799,Europe & Central Asia
High income,High income,all,all,0.990648467076788,0.6628752779668026,0.6892839423257511,0.619249401817415,0.6192494018174148,0.5854494104390707,0.5854494104390708,0.8548057294890894,0.8576183738469058,0.14238162615309427,0.7025908018158904,0.8009666482289945,0.7025908018158905,0.04205844049307675,0.36137340737957685,0.3674832229025078,0.5664407229822845,0.5156179483339801,0.5100498938430871,0.4681814356181132,0.642305235853513,0.45813250725987487,0.4116942940595343,0.5574088352763038,0.7685963322974617,High income countries
High income,High income,all,all,0.970817387939481,0.5278299696999934,0.4846270820073046,0.515938411539427,0.515938411539427,0.43150261827787456,0.4310728005410974,0.7618086808258266,0.8055734886278455,0.1869557841246824,0.6605140174570465,0.7891624587585108,0.6502661036983679,0.05962907002606033,0.3291180751474653,0.33425390141646505,0.4661126481121737,0.4233746539406842,0.4189875206065903,0.33985501938965695,0.389183469370793,0.3274041096848446,0.2775263581869262,0.4087004914736159,0.6933725340940754,High income countries
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.149008503578404,0.4692071329883822,0.1079918892236485,0.01607472749538269,0.016074727495382718,0.16455739838510977,0.16455739838510977,0.5747980654062195,0.5624494445616788,0.43755055543832155,0.017110410820921684,0.5971055901517548,0.01711041082092163,0.5751414505644734,0.035364247376151375,0.055075117945704855,0.318251280605856,0.13649900928766706,0.08408247886791106,0.19867326347463932,0.025386739107630896,0.18705336198994635,0.07157732550759674,0.28905214826483067,0.32765673990203614,Europe & Central Asia
High income,High income,all,all,0.645145712448929,0.4641352521654164,0.2687586618857846,0.162934247887423,0.162934247887423,0.22926803317144118,0.228274909105116,0.5642514199356371,0.6586374794600247,0.3413625205399753,0.22322130416872593,0.600825068803296,0.21474499258988194,0.3407795797189237,0.16646183872876527,0.18358605513950566,0.3916474708635293,0.2610820057863151,0.23800010730672352,0.21599652670510394,0.19320167854386,0.19961446534896898,0.16842116236733243,0.293966217718094,0.4194497873980949,High income countries
