region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_for_purchase,saved_no_purpose,digital_payment_other,mobile_payment_bill,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,prefer_digital_fin,prefer_digital,saved_any,region_cleaned,biz_loan_source_missing,biz_loan_missing,loan_purpose_group_missing,loan_purpose_missing,saved_for_purchase_missing,saved_no_purpose_missing,digital_payment_other_missing,mobile_payment_bill_missing,govt_digital_pay_acc_missing,digital_pay_missing,digital_pay_acc_missing,govt_payment_recv_missing,prefer_digital_fin_missing,prefer_digital_missing
South Asia (excluding high income),Low income,all,all,0.0900501207340641,0.0,0.0281942030289135,0.0281942030289135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.282681244109764,0.0,0.0856161067786654,0.0856161067786654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.332861125283373,0.0,0.043256992912583,0.043256992912583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East & North Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.392035423430619,0.0,0.159155843112353,0.159155843112353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.331302169855518,0.0,0.0380065747354329,0.0380065747354329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.174868727402134,0.0,0.0081913251333349,0.0081913251333349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.990648467076788,0.0,0.619249401817415,0.619249401817415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.970817387939481,0.0,0.515938411539427,0.515938411539427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.149008503578404,0.0,0.0160747274953827,0.0160747274953827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.645145712448929,0.0,0.162934247887423,0.162934247887423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
