countrynewwb,region_clean
Afghanistan,South Asia
Albania,Europe & Central Asia
Algeria,Middle East & North Africa
Angola,Sub-Saharan Africa
Argentina,Latin America & Caribbean
Armenia,Europe & Central Asia
Australia,High income countries
Austria,High income countries
Azerbaijan,Europe & Central Asia
Bahrain,High income countries
Bangladesh,South Asia
Belarus,Europe & Central Asia
Belgium,High income countries
Belize,Latin America & Caribbean
Benin,Sub-Saharan Africa
Bhutan,South Asia
Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,Europe & Central Asia
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
Bulgaria,Europe & Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,East Asia & Pacific
Cameroon,Sub-Saharan Africa
Canada,High income countries
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,High income countries
China,East Asia & Pacific
Colombia,Latin America & Caribbean
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Costa Rica,Latin America & Caribbean
Cote d'Ivoire,Sub-Saharan Africa
Croatia,High income countries
Cyprus,High income countries
Czechia,High income countries
Denmark,High income countries
Developing economies,
Djibouti,Middle East & North Africa
Dominican Republic,Latin America & Caribbean
East Asia & Pacific (excluding high income),
Ecuador,Latin America & Caribbean
"Egypt, Arab Rep.",Middle East & North Africa
El Salvador,Latin America & Caribbean
Estonia,High income countries
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Europe & Central Asia (excluding high income),
Finland,High income countries
France,High income countries
Gabon,Sub-Saharan Africa
"Gambia, The",Sub-Saharan Africa
Georgia,Europe & Central Asia
Germany,High income countries
Ghana,Sub-Saharan Africa
Greece,High income countries
Guatemala,Latin America & Caribbean
Guinea,Sub-Saharan Africa
Haiti,Latin America & Caribbean
High income,
Honduras,Latin America & Caribbean
"Hong Kong SAR, China",High income countries
Hungary,High income countries
Iceland,High income countries
India,South Asia
Indonesia,East Asia & Pacific
"Iran, Islamic Rep.",Middle East & North Africa
Iraq,Middle East & North Africa
Ireland,High income countries
Israel,High income countries
Italy,High income countries
Jamaica,Latin America & Caribbean
Japan,High income countries
Jordan,Middle East & North Africa
Kazakhstan,Europe & Central Asia
Kenya,Sub-Saharan Africa
"Korea, Rep.",High income countries
Kosovo,Europe & Central Asia
Kuwait,High income countries
Kyrgyz Republic,Europe & Central Asia
Lao PDR,East Asia & Pacific
Latin America & Caribbean (excluding high income),
Latvia,High income countries
Lebanon,Middle East & North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East & North Africa
Lithuania,High income countries
Low income,
Lower middle income,
Luxembourg,High income countries
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia & Pacific
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,High income countries
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mexico,Latin America & Caribbean
Middle East & North Africa (excluding high income),
Moldova,Europe & Central Asia
Mongolia,East Asia & Pacific
Montenegro,Europe & Central Asia
Morocco,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia & Pacific
Namibia,Sub-Saharan Africa
Nepal,South Asia
Netherlands,High income countries
New Zealand,High income countries
Nicaragua,Latin America & Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
North Macedonia,Europe & Central Asia
Norway,High income countries
Oman,High income countries
Pakistan,South Asia
Panama,High income countries
Paraguay,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,East Asia & Pacific
Poland,High income countries
Portugal,High income countries
Puerto Rico,High income countries
Qatar,High income countries
Romania,High income countries
Russian Federation,Europe & Central Asia
Rwanda,Sub-Saharan Africa
Saudi Arabia,High income countries
Senegal,Sub-Saharan Africa
Serbia,Europe & Central Asia
Sierra Leone,Sub-Saharan Africa
Singapore,High income countries
Slovak Republic,High income countries
Slovenia,High income countries
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Asia,
South Sudan,Sub-Saharan Africa
Spain,High income countries
Sri Lanka,South Asia
Sub-Saharan Africa (excluding high income),
Sudan,Sub-Saharan Africa
Sweden,High income countries
Switzerland,High income countries
Syrian Arab Republic,Middle East & North Africa
"Taiwan, China",High income countries
Tajikistan,Europe & Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia & Pacific
Togo,Sub-Saharan Africa
Trinidad and Tobago,High income countries
Tunisia,Middle East & North Africa
Turkiye,Europe & Central Asia
Turkmenistan,Europe & Central Asia
Uganda,Sub-Saharan Africa
Ukraine,Europe & Central Asia
United Arab Emirates,High income countries
United Kingdom,High income countries
United States,High income countries
Upper middle income,
Uruguay,High income countries
Uzbekistan,Europe & Central Asia
"Venezuela, RB",Latin America & Caribbean
Viet Nam,East Asia & Pacific
West Bank and Gaza,Middle East & North Africa
"Yemen, Rep.",Middle East & North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
world,
