regionwb24_hi,incomegroupwb24,group,group2,borrow_any_t_d,fin26a,fin17a_17a1_d,fin17a,fin22a_22a1_22g_d,fin22a,fin24aSD_ND,fin24aP,fin24aN,fin31a_31b,fin30,fin31a,fin31d,fin32_n33_34a,fin32_n33_acc,fin32,fin32_acc,fin34a,fin37_38,fin10,fing2p_acc,fing2p_fin,fing2p,save_any_t_d,account_t_d
South Asia (excluding high income),Low income,all,all,0.42529157267696516,0.007460604652163527,0.02819420302891351,0.02819420302891351,0.03612727346503514,0.036012128736799265,0.40462286474482656,0.6387545141556883,0.3612454858443114,0.019936078830804116,0.21575750176222358,0.014261438844807073,0.17989511748985568,0.014672527357555004,0.016196921066642056,0.16484067993410437,0.040180448911530775,0.038327850081705,0.03454023116915972,0.008257340114954603,0.03174243393065179,0.02799483553984572,0.0923147614565028,0.1840020410071232,0.0900501207340641
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.40485230925132004,0.10177784466314477,0.08561610677866535,0.08561610677866535,0.16080486911036646,0.16059349005652873,0.6297949168077501,0.7196384711889455,0.2803615288110546,0.0838850270080837,0.6205148862967489,0.07931598648637253,0.5148945017732681,0.08699792118769237,0.11185969799360594,0.2753900913942646,0.17932761250237472,0.14486853091686386,0.2417161774837191,0.105931324858905,0.20478822227414611,0.169445908188835,0.2949745312516683,0.3412023420280033,0.282681244109764
Middle East & North Africa (excluding high income),Lower middle income,all,all,0.4006621720259792,0.02755657081547208,0.043256992912583,0.043256992912582976,0.06075926143146221,0.06046469803109711,0.5170113480178797,0.6107745296082563,0.38922547039174377,0.01605601382725369,0.47125608600908714,0.013975184724164813,0.45010737147982705,0.024710420152782908,0.027450802824344783,0.1981252651124737,0.05696485300590198,0.05039065247912369,0.13243741686920715,0.011602966430668882,0.11910961071273832,0.07146428021884885,0.16595320981498785,0.23800026668988478,0.332861125283373
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.5389936723443157,0.06035532610993127,0.15915584311235303,0.159155843112353,0.1011018705181504,0.09901376311209925,0.49184089757776295,0.6499309604318573,0.3500690395681426,0.06637630907085038,0.31863794283876834,0.05044022739045101,0.19593682765417922,0.039721483389592166,0.06185845590453451,0.18515694654409948,0.10852084217653446,0.08156580933803764,0.0985419677311154,0.154859571025538,0.07986791136901586,0.07157319896653538,0.12976436706424427,0.4889206741832755,0.392035423430619
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.37599615735107234,0.17678401499753268,0.038006574735432896,0.038006574735432924,0.21121076265643196,0.20823471533528976,0.4847885718158918,0.5054300337638967,0.49456996623610333,0.10406174535099483,0.5953726826773957,0.09430144441446192,0.4770232501236832,0.09713903621025935,0.10821316319150338,0.32570743627039267,0.17368943402109038,0.15915136099623645,0.1821085753424112,0.219408850054562,0.17288354333906975,0.1396932667317901,0.24065540096193766,0.3310021293241362,0.331302169855518
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.4854594372720551,0.12274842147326659,0.008191325133334926,0.008191325133334926,0.1647928528755589,0.16479285287555892,0.5842194620719402,0.4193498236905134,0.29561369566882184,0.025896422471532232,0.6159332027154585,0.02580988943751128,0.5776035939689477,0.0376282945285083,0.05333718738443019,0.29406824264127057,0.13185901351329476,0.08894692057223097,0.23399249257452942,0.023422892801444717,0.20984101004046019,0.08758629124679262,0.3227579764262306,0.3191076916625869,0.174868727402134
High income,High income,all,all,0.6707826286160731,0.6900061892756333,0.619249401817415,0.619249401817415,0.5952520619949928,0.5952520619949929,0.8575190517631754,0.8461824673017764,0.15381753269822374,0.6894082570941253,0.8040489386908798,0.6894082570941253,0.05369624775756049,0.35978929189927267,0.3658540018173121,0.5630371829435434,0.5143212593436233,0.509035232661118,0.45995123944227945,0.642305235853513,0.45633459066931437,0.41317616477606467,0.5538945164192631,0.7755258604747142,0.990648467076788
High income,High income,all,all,0.5277941975045922,0.4854708797673062,0.515938411539427,0.515938411539427,0.4317309342938366,0.4313038797777168,0.765563727571535,0.7944721079212277,0.19810519278847635,0.6129317596192858,0.7551678481922616,0.6020226993248324,0.0806388408997333,0.3058151210078349,0.311730716506055,0.4624979307967165,0.41186213559978213,0.4067237434165931,0.33176321284657756,0.389183469370793,0.31831971002988807,0.2912171673267741,0.3951348764028678,0.6959818981956222,0.970817387939481
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.4846746760945052,0.1104005494804483,0.01607472749538269,0.01607472749538269,0.1640734008713322,0.1640734008713322,0.5839569974775104,0.4435191678862693,0.3156592071559444,0.025685522078236378,0.6138679977746384,0.025601192931651362,0.5758607851216215,0.038026202714500495,0.05375567070436901,0.29496790527884187,0.13277062745238502,0.08980232066606444,0.21858885598980418,0.025386739107630923,0.18403582780529842,0.08791848957925447,0.3066698213020507,0.3194017307041309,0.149008503578404
High income,High income,all,all,0.4494759044325759,0.24259048137395028,0.162934247887423,0.162934247887423,0.23379320456232727,0.23289088011736028,0.5450593963904576,0.6299086618394591,0.37009133816054085,0.2213158454763462,0.6112066729670859,0.21261516670130537,0.3587924943333244,0.1676382172241562,0.18228183604379425,0.3835825288025747,0.2559261875465536,0.23624933093768868,0.24646713372328366,0.19320167854386,0.21963312226832168,0.16292848425823755,0.3274720885660695,0.41581341436557395,0.645145712448929
